renda;compra;idade;scrcrdt;sexo
5611.56;4617.54;41;392;0
5337.18;4358.88;41;392;0
5552.76;4554.24;41;392;0
5761.48;5144.79;41;392;0
5702.45;4632.37;41;392;0
5187.47;4707.33;41;614;0
5607.58;4677.6;41;392;0
5689.05;4572.43;41;392;0
5775.74;4733.15;41;392;0
5981.88;4734.81;41;392;0
5517.39;4332.04;41;392;0
5710.32;4690.02;41;392;0
5577.34;4661.25;41;392;0
6021.83;4998.7;41;392;0
5457.47;4654.76;41;392;0
5266.23;4276.9;41;392;0
5520.14;4641.55;41;392;0
5762.21;4749.95;41;392;0
5776.97;4757.44;41;392;0
5758.06;4554.68;41;392;0
5726.8;4712.73;41;392;0
5730.96;4697.09;41;392;0
6234.44;5120.59;41;392;0
5562.32;4659.8;41;392;0
5807.92;4715.85;41;392;0
5618.25;4798.63;41;392;0
5302.79;4654.06;41;392;0
5872.67;4960.19;41;392;0
5578.86;4443.02;41;392;0
5885.43;4818.05;41;392;0
5793.24;4819.6;41;392;0
5158.25;4667.76;41;614;0
5761.33;4883.24;41;392;0
5373.54;4339.98;41;392;0
5762.71;4925.87;41;392;0
4898.55;4482.43;32;392;0
5125.06;4816.66;36;614;0
5656.45;4580.1;41;392;0
5608.1;4559.38;41;392;0
5660.57;4353.92;41;392;0
5156.32;4054.14;41;392;0
5762.96;4939.08;41;392;0
5660.29;4725.23;41;392;0
5999.76;4734.81;41;392;0
6192.25;5053.11;41;392;0
5666.3;4495.4;41;392;0
5978.6;4941.4;41;392;0
5699.11;4608.16;41;392;0
5434.0;4520.82;41;392;0
5786.09;4711.15;41;392;0
6165.01;4809.69;41;392;0
5806.46;4970.27;41;392;0
5800.2;4829.39;41;392;0
5657.56;4675.43;41;392;0
5802.27;5011.32;41;392;0
5700.37;4622.66;41;392;0
5694.91;4685.02;41;392;0
5762.71;4924.91;41;392;0
6230.91;4735.19;41;392;0
5772.65;4694.5;41;392;0
5534.25;4662.01;41;392;0
6012.36;4734.81;41;392;0
5707.97;4769.21;41;392;0
6000.18;4734.81;41;392;0
5953.33;4773.87;41;392;0
5001.98;4114.71;36;445;0
5468.31;4655.05;41;392;0
5517.36;4656.29;41;392;0
5666.07;4678.05;41;392;0
5722.07;4516.92;41;392;0
5676.47;4568.08;41;392;0
5619.74;4588.58;41;392;0
5725.78;4767.44;41;392;0
5674.58;4579.51;41;392;0
5784.28;4766.21;41;392;0
5233.07;4626.58;41;392;0
5810.24;4865.65;41;392;0
5769.57;4762.67;41;392;0
5713.94;4691.6;41;392;0
5679.76;4711.47;41;392;0
5325.8;4190.76;32;392;0
5741.41;4610.69;41;392;0
5685.69;4819.54;41;392;0
6046.81;5034.47;41;392;0
5425.03;4566.89;41;392;0
5927.44;4812.0;41;392;0
5754.01;4815.1;41;392;0
5945.2;4733.98;41;392;0
5749.16;4877.88;41;392;0
5905.47;4686.86;41;392;0
5471.21;4655.27;41;392;0
5719.73;4692.93;41;392;0
5679.88;4400.44;41;392;0
6010.23;5109.2;41;392;0
5741.72;4699.63;41;392;0
5732.1;5399.28;41;392;0
5745.8;4573.28;41;392;0
5820.55;4824.08;41;392;0
5401.2;4501.85;41;392;0
5136.4;4265.35;41;392;0
5752.38;4805.39;41;392;0
5204.17;4000.9;41;107;0
5681.09;4473.1;41;392;0
6071.36;4734.81;41;392;0
5862.12;4891.09;41;392;0
5593.89;4545.64;41;392;0
5557.99;4312.33;41;392;0
5725.09;4694.21;41;392;0
5966.04;5108.02;41;392;0
5974.44;4734.81;41;392;0
5637.6;4671.46;41;392;0
5314.98;4260.33;41;392;0
5783.42;4928.2;41;392;0
5486.08;4655.53;41;392;0
5563.52;4660.03;41;392;0
5669.76;4489.89;41;392;0
5838.42;4702.65;41;392;0
6235.85;5088.15;41;392;0
5766.36;4954.6;41;392;0
5761.33;4885.42;41;392;0
5959.3;4734.81;41;392;0
5726.07;5461.98;41;392;0
5170.46;4335.37;41;392;0
5622.41;4731.17;41;392;0
5846.11;4771.18;41;392;0
5799.52;4713.55;41;392;0
5349.84;4422.17;41;392;0
6355.33;5332.35;41;392;0
5999.21;4945.03;41;392;0
6030.08;4734.81;41;392;0
5982.16;5014.42;41;392;0
5555.7;4596.36;41;392;0
4796.99;4250.96;41;614;0
5759.63;5161.19;41;392;0
5526.37;4656.61;41;392;0
5717.08;4691.98;41;392;0
6394.48;5185.46;41;392;0
5705.52;4870.18;41;392;0
5418.46;4654.06;41;392;0
5685.73;4544.9;41;392;0
5791.83;4831.07;41;392;0
6332.36;5195.56;41;392;0
5808.46;4716.07;41;392;0
5777.95;4581.95;41;392;0
5424.42;4427.08;41;392;0
5922.27;4970.86;41;392;0
5680.85;4457.58;41;392;0
5271.31;4435.99;41;392;0
5645.96;4672.9;41;392;0
5551.66;4632.8;41;392;0
5895.25;4618.76;41;392;0
5679.96;4662.68;41;392;0
6002.06;4734.81;41;392;0
5680.07;4681.89;41;392;0
6136.62;5196.71;41;392;0
5731.85;4884.76;41;392;0
5678.43;4383.2;41;392;0
5349.25;4203.34;41;392;0
6005.64;4734.81;41;392;0
5828.78;4720.46;41;392;0
6006.75;5044.82;41;392;0
5683.53;4521.17;41;392;0
5142.37;4205.52;32;392;0
5631.3;4670.18;41;392;0
5670.55;4567.76;41;392;0
5724.49;4694.21;41;392;0
5793.07;4712.65;41;392;0
5438.34;4654.76;41;392;0
5453.92;4480.16;41;392;0
5957.79;4906.65;41;392;0
5501.12;4390.33;41;392;0
5919.04;4852.28;41;392;0
6065.29;4713.74;41;392;0
5362.17;4318.16;41;392;0
5745.8;4771.66;41;392;0
5860.6;5111.41;41;392;0
5754.38;4817.95;41;392;0
5648.13;4779.26;41;392;0
5164.0;4181.97;32;392;0
5561.24;4593.52;41;392;0
5720.89;4706.44;41;392;0
6194.82;5023.46;41;392;0
5763.39;5050.06;41;392;0
5765.98;4638.55;41;392;0
4968.3;4456.82;41;614;0
5562.99;4425.79;41;392;0
5744.72;4831.37;41;392;0
5322.58;4374.64;41;392;0
5713.5;4672.23;41;392;0
5838.92;4680.69;41;392;0
5186.46;4259.18;41;392;0
5353.03;4426.5;41;392;0
5449.35;4384.35;41;392;0
5721.92;4697.55;41;392;0
5579.29;4717.4;41;392;0
6506.65;5464.54;41;392;0
5586.44;4574.7;41;392;0
5687.5;4448.66;41;392;0
5296.29;4481.91;41;392;0
5698.98;4617.31;41;392;0
5684.8;4709.48;41;392;0
5759.06;4853.82;41;392;0
5723.4;4702.98;41;392;0
6161.67;5237.03;41;392;0
5132.56;4137.89;32;392;0
5702.44;4619.57;41;392;0
5761.16;4876.45;41;392;0
5603.17;4665.94;41;392;0
5745.44;4457.13;41;392;0
6386.99;5361.94;41;392;0
6195.59;5145.49;41;392;0
5208.15;4612.23;41;392;0
5741.35;4756.82;41;392;0
5809.34;4708.3;41;392;0
5196.3;4408.24;41;392;0
6197.86;5049.56;41;392;0
5523.43;4656.29;41;392;0
5140.95;4228.91;41;392;0
5681.09;4472.78;41;392;0
5737.59;4747.99;41;392;0
6042.09;5086.11;41;392;0
5705.79;4688.72;41;392;0
6525.95;4735.19;41;392;0
6030.14;4827.25;41;392;0
5799.59;4788.08;41;392;0
6021.92;5281.56;41;392;0
5604.86;4566.94;41;392;0
5348.03;4444.39;41;392;0
5434.94;4478.83;41;392;0
5621.93;4662.92;41;392;0
5904.69;4759.07;41;392;0
5762.65;5129.44;41;392;0
5699.38;4619.69;41;392;0
5729.35;4719.72;41;392;0
5762.84;4816.91;41;392;0
5462.57;4654.76;41;392;0
6024.24;4958.09;41;392;0
5705.6;4691.05;41;392;0
5777.92;4932.1;41;392;0
5800.67;4713.81;41;392;0
5685.73;4540.55;41;392;0
5664.11;4696.02;41;392;0
5572.93;4543.09;41;392;0
5939.69;4807.6;41;392;0
5998.79;4976.73;41;392;0
5382.07;4654.06;41;392;0
5701.62;4628.19;41;392;0
5763.6;5000.07;41;392;0
5942.87;5058.46;41;392;0
5293.11;4147.02;41;392;0
5501.39;4480.09;41;392;0
5486.08;4445.0;41;392;0
5589.26;4676.8;41;392;0
5330.27;4331.79;41;392;0
5680.53;4451.22;41;392;0
5816.13;4975.13;41;392;0
5215.58;4103.0;41;392;0
6095.75;5031.84;41;392;0
5711.25;4665.53;41;392;0
5796.92;4713.12;41;392;0
5689.23;4657.72;41;392;0
5692.78;4684.75;41;392;0
6104.51;4735.19;41;392;0
5760.4;4862.68;41;392;0
5701.43;4627.42;41;392;0
5763.61;5104.23;41;392;0
5682.33;4507.23;41;392;0
5736.34;4742.78;41;392;0
5797.9;4760.41;41;392;0
5973.67;5007.73;41;392;0
5769.08;4707.24;41;392;0
5722.95;4701.71;41;392;0
5685.16;4538.49;41;392;0
6153.99;4959.41;41;392;0
6170.15;5127.81;41;392;0
6092.1;4735.19;41;392;0
5472.94;4371.59;41;392;0
5193.3;4149.36;41;392;0
5655.54;4674.55;41;392;0
5530.02;4656.97;41;392;0
5693.88;4751.63;41;392;0
5770.29;4716.95;41;392;0
5704.36;4642.22;41;392;0
5681.09;4482.71;41;392;0
6070.84;5108.1;41;392;0
6245.07;5144.22;41;392;0
5686.95;4552.13;41;392;0
5394.31;4445.84;41;392;0
5709.22;4689.78;41;392;0
5705.04;4643.6;41;392;0
5399.76;4364.1;41;392;0
5801.81;4713.81;41;392;0
5236.15;4455.25;41;392;0
5598.34;4664.92;41;392;0
5821.21;4617.46;41;392;0
5569.01;4451.75;41;392;0
5406.44;4331.78;41;392;0
5541.49;4525.31;41;392;0
6174.34;5128.89;41;392;0
5820.02;4821.51;41;392;0
5601.93;4458.16;41;392;0
4966.48;4518.45;32;392;0
5722.93;4822.67;41;392;0
5541.58;4658.03;41;392;0
5686.95;4555.44;41;392;0
5797.81;4761.98;41;392;0
5497.05;4236.89;41;392;0
5531.61;4656.97;41;392;0
5805.21;4715.23;41;392;0
5296.55;4252.17;41;392;0
5632.67;4570.39;41;392;0
5011.65;4540.96;32;392;0
5572.41;4393.02;41;392;0
5797.4;4732.12;41;392;0
5672.63;4593.09;41;392;0
5749.95;4796.02;41;392;0
5807.76;4730.83;41;392;0
5441.96;4710.71;41;392;0
5671.06;4371.92;41;392;0
5758.09;4844.42;41;392;0
5820.05;4635.48;41;392;0
5739.46;4395.66;41;392;0
5761.16;4876.63;41;392;0
5238.52;4382.01;41;392;0
5794.08;4753.65;41;392;0
5143.01;4137.52;32;392;0
5434.23;4654.76;41;392;0
5829.37;4708.42;41;392;0
5702.43;4761.21;41;392;0
6045.82;4734.81;41;392;0
5692.61;4585.91;41;392;0
5826.61;4719.91;41;392;0
5871.1;4689.23;41;392;0
5984.34;4970.16;41;392;0
5573.18;4687.22;41;392;0
5409.01;4654.06;41;392;0
5069.57;4513.71;41;392;0
5536.58;4657.3;41;392;0
5684.47;4683.05;41;392;0
5488.41;4387.98;41;392;0
5697.7;4612.96;41;392;0
5912.23;4925.09;41;392;0
5774.7;4635.54;41;392;0
5708.15;4658.99;41;392;0
5733.74;5386.34;41;392;0
5294.34;4292.14;41;392;0
5379.66;4250.56;41;392;0
5520.62;4526.43;41;392;0
5613.24;4443.7;41;392;0
5766.87;4706.78;41;392;0
5948.28;4955.37;41;392;0
6019.05;4734.81;41;392;0
5633.19;4706.26;41;392;0
5761.94;4900.66;41;392;0
5794.68;4691.92;41;392;0
5641.49;4861.59;41;392;0
5993.01;4969.9;41;392;0
6018.19;5010.02;41;392;0
5537.31;4593.5;41;392;0
5603.18;4717.22;41;392;0
5566.44;4633.85;41;392;0
5779.57;4709.37;41;392;0
5761.94;4894.97;41;392;0
5943.92;4794.55;41;392;0
5429.9;4572.75;41;392;0
5871.56;4728.66;41;392;0
6155.83;5046.55;41;392;0
5738.1;4603.39;41;392;0
5759.36;4855.71;41;392;0
6076.41;4999.54;41;392;0
5763.22;4992.99;41;392;0
5885.53;4729.58;41;392;0
5259.4;4239.2;32;392;0
5862.23;4875.9;41;392;0
5702.22;4687.39;41;392;0
5543.49;4658.03;41;392;0
5602.9;4295.39;41;392;0
5756.82;4837.51;41;392;0
5486.98;4655.53;41;392;0
5762.71;4921.59;41;392;0
5844.1;4936.19;41;392;0
6101.34;4735.19;41;392;0
5010.09;4540.18;32;392;0
5686.4;4549.44;41;392;0
5518.22;4624.21;41;392;0
5839.82;4621.71;41;392;0
5565.22;4452.68;41;392;0
6134.62;4735.19;41;392;0
5833.65;4721.59;41;392;0
5736.18;4664.36;41;392;0
5805.88;4862.13;41;392;0
5761.94;4900.02;41;392;0
5762.96;4936.67;41;392;0
5551.62;4656.66;41;392;0
5671.65;4680.26;41;392;0
5683.53;4521.06;41;392;0
5956.95;4920.98;41;392;0
6221.51;5447.41;41;392;0
5570.71;4660.52;41;392;0
5733.85;4585.79;41;392;0
5686.4;4549.45;41;392;0
5763.22;4960.58;41;392;0
5758.87;5167.27;41;392;0
6127.26;5320.22;41;392;0
5286.32;4169.0;41;392;0
5873.29;4799.29;41;392;0
5760.4;4866.97;41;392;0
5632.55;4520.55;41;392;0
6037.45;4734.81;41;392;0
5322.05;4359.46;41;392;0
5907.55;4870.67;41;392;0
5915.06;5054.05;41;392;0
5043.23;4056.46;41;392;0
5645.3;4672.45;41;392;0
6083.15;5096.39;41;392;0
5460.75;4654.76;41;392;0
5815.92;4757.8;41;392;0
5751.17;4777.04;41;392;0
6002.52;5065.45;41;392;0
5205.62;4285.4;36;445;0
5811.74;4869.71;41;392;0
5453.27;4654.76;41;392;0
5809.01;4758.71;41;392;0
5808.01;4901.67;41;392;0
5680.85;4469.53;41;392;0
5375.86;4654.06;41;392;0
6383.56;5371.55;41;392;0
5761.94;4909.78;41;392;0
6171.82;4993.0;41;392;0
5526.52;4226.29;41;392;0
5703.46;4637.17;41;392;0
5936.44;4733.98;41;392;0
5761.33;4882.28;41;392;0
5415.31;4334.9;41;392;0
6101.33;5055.82;41;392;0
5755.43;4825.4;41;392;0
5763.61;5108.73;41;392;0
5787.57;4711.58;41;392;0
4843.46;4339.12;41;614;0
5983.03;4826.32;41;392;0
5320.59;4360.75;41;392;0
5763.22;4987.44;41;392;0
5687.38;4562.68;41;392;0
5410.25;4654.06;41;392;0
5962.04;4734.81;41;392;0
5545.86;4658.57;41;392;0
6135.18;5010.03;41;392;0
5448.07;4363.23;41;392;0
5668.33;4367.13;41;392;0
5253.84;4121.76;32;392;0
5832.46;4854.17;41;392;0
5435.87;4551.79;41;392;0
5750.62;4798.37;41;392;0
5372.65;4325.22;41;392;0
5566.61;4660.03;41;392;0
5474.91;4443.65;41;392;0
5607.58;4377.08;41;392;0
5708.15;4658.39;41;392;0
5675.17;4680.85;41;392;0
5966.16;4795.45;41;392;0
5625.35;4666.3;41;392;0
5440.16;4275.79;36;392;0
5745.8;4772.15;41;392;0
6360.28;5564.39;41;392;0
5877.93;4808.9;41;392;0
5771.57;4623.74;41;392;0
5321.32;4396.65;41;392;0
5854.94;4726.37;41;392;0
5759.04;4626.99;41;392;0
5690.47;4581.51;41;392;0
5645.16;4646.87;41;392;0
5674.65;4852.51;41;392;0
5531.09;4453.38;41;392;0
5830.82;4660.38;41;392;0
5707.4;4512.92;41;392;0
5872.51;5070.59;41;392;0
5690.04;4685.04;41;392;0
4976.36;4523.92;32;392;0
5609.72;4615.21;41;392;0
5708.15;4656.82;41;392;0
5584.87;4324.27;41;392;0
5954.11;4734.53;41;392;0
5978.11;4822.46;41;392;0
5643.0;4672.23;41;392;0
5461.87;4654.76;41;392;0
5565.49;4661.16;41;392;0
5880.54;4884.11;41;392;0
5274.86;4204.38;32;392;0
5797.52;4711.49;41;392;0
5681.09;4484.81;41;392;0
5864.45;4978.87;41;392;0
6088.77;5091.56;41;392;0
5920.58;4870.84;41;392;0
5862.84;4746.49;41;392;0
5681.09;4473.75;41;392;0
5692.61;4585.53;41;392;0
5690.55;4719.53;41;392;0
5681.42;4489.84;41;392;0
5942.55;4880.35;41;392;0
5762.71;4926.28;41;392;0
6033.84;4734.81;41;392;0
5606.07;4626.91;41;392;0
5719.49;4708.29;41;392;0
6200.81;5160.16;41;392;0
6050.83;4734.81;41;392;0
6660.15;5292.47;41;392;0
5983.54;4734.81;41;392;0
5447.83;4206.21;41;392;0
5732.33;4562.84;41;392;0
5202.52;4093.64;32;392;0
5988.34;4904.19;41;392;0
5646.3;4672.9;41;392;0
5637.85;4886.54;41;392;0
5401.85;4654.06;41;392;0
5758.59;4806.44;41;392;0
5719.38;4692.93;41;392;0
5311.8;4263.49;41;392;0
6024.11;4724.4;41;392;0
5699.38;4620.46;41;392;0
5580.06;4661.44;41;392;0
5836.76;4809.04;41;392;0
5852.29;4725.99;41;392;0
5713.65;4564.46;41;392;0
5723.85;4815.84;41;392;0
6106.74;5046.82;41;392;0
5483.48;4563.68;41;392;0
5758.09;4844.68;41;392;0
5369.14;4424.66;41;392;0
5877.4;4754.75;41;392;0
5668.16;4679.26;41;392;0
5060.47;4507.03;41;392;0
5265.7;4641.56;41;392;0
5087.94;4581.84;41;614;0
5732.48;4745.0;41;392;0
5661.16;4581.01;41;392;0
6099.45;5198.54;41;392;0
5682.33;4506.7;41;392;0
5892.87;4770.45;41;392;0
5692.87;4588.31;41;392;0
5544.33;4658.03;41;392;0
5428.28;4654.76;41;392;0
5689.05;4573.02;41;392;0
5612.97;4661.54;41;392;0
5967.08;4936.77;41;392;0
6102.33;5025.02;41;392;0
5712.86;4638.14;41;392;0
5696.78;4604.38;41;392;0
5663.24;4724.07;41;392;0
5885.72;4737.25;41;392;0
6298.45;5202.83;41;392;0
5537.8;4708.82;41;392;0
5749.02;4790.5;41;392;0
5615.11;4799.04;41;392;0
5493.76;4655.53;41;392;0
5707.46;4652.97;41;392;0
5655.3;4482.29;41;392;0
5921.38;5012.87;41;392;0
5895.61;4730.85;41;392;0
5686.95;4556.35;41;392;0
5035.71;4327.48;41;614;0
5816.16;4717.86;41;392;0
5722.3;4672.34;41;392;0
5837.67;4725.36;41;392;0
5965.03;4734.81;41;392;0
5924.33;4970.42;41;392;0
5694.27;4594.25;41;392;0
6012.11;4925.64;41;392;0
5682.33;4515.27;41;392;0
6064.03;5116.33;41;392;0
5571.79;4660.52;41;392;0
6151.48;5181.36;41;392;0
5943.14;4972.51;41;392;0
5531.75;4656.97;41;392;0
5871.34;4728.9;41;392;0
5805.73;4724.35;41;392;0
5915.98;4779.83;41;392;0
5845.64;4595.67;41;392;0
5560.92;4622.96;41;392;0
5653.93;4590.68;41;392;0
5756.79;4668.61;41;392;0
5681.42;4485.82;41;392;0
5679.88;4407.42;41;392;0
5737.59;4747.44;41;392;0
5763.39;5044.09;41;392;0
6126.75;4735.19;41;392;0
5843.17;4723.7;41;392;0
5679.88;4418.61;41;392;0
5715.51;4678.88;41;392;0
5645.74;4829.04;41;392;0
4755.28;3934.89;32;392;0
5575.59;4476.61;41;392;0
5712.07;4669.01;41;392;0
5468.47;4519.67;36;392;0
5318.05;5000.22;41;392;1
5674.11;4680.7;41;392;0
6057.56;4929.31;41;392;0
5775.54;4811.96;41;392;0
5337.8;4507.26;41;392;0
5761.33;4881.05;41;392;0
6048.83;4734.81;41;392;0
5946.93;5047.37;41;392;0
5615.58;4545.68;41;392;0
5806.6;4539.86;41;392;0
6055.34;5109.71;41;392;0
5607.1;4593.8;41;392;0
5681.09;4482.91;41;392;0
5640.21;4621.21;41;392;0
6125.84;4982.29;41;392;0
5679.29;4848.28;41;392;0
6060.1;5248.25;41;392;0
5751.99;4802.28;41;392;0
5345.99;4654.06;41;392;0
5685.73;4546.51;41;392;0
5780.59;4709.65;41;392;0
5628.81;4669.11;41;392;0
5398.46;4654.06;41;392;0
4866.47;4362.52;41;614;0
5815.77;4770.42;41;392;0
6101.85;4904.94;41;392;0
5829.77;4760.49;41;392;0
5349.3;4315.51;41;392;0
5277.0;4342.68;41;392;0
5743.89;4521.07;41;392;0
5802.78;4714.0;41;392;0
5799.31;4620.42;41;392;0
5370.66;4667.79;41;392;0
5576.67;4556.47;41;392;0
5805.23;4715.23;41;392;0
5768.44;4707.02;41;392;0
5809.53;4637.28;41;392;0
5497.84;4389.83;41;392;0
5748.89;4701.8;41;392;0
5775.99;5034.23;41;392;0
5882.3;4729.38;41;392;0
5825.3;4933.6;41;392;0
5738.77;4761.66;41;392;0
5649.38;4673.5;41;392;0
5184.11;4598.56;41;392;0
5912.25;4796.48;41;392;0
5548.15;4545.8;41;392;0
5758.89;4744.71;41;392;0
5676.01;4605.64;41;392;0
5958.37;5094.65;41;392;0
5714.03;4673.47;41;392;0
5845.79;4974.5;41;392;0
6053.7;4734.81;41;392;0
5696.49;4601.45;41;392;0
5761.94;4905.43;41;392;0
5515.15;4533.84;41;392;0
5842.07;4839.97;41;392;0
5749.28;4792.11;41;392;0
5489.65;4446.39;41;392;0
5915.23;4911.63;41;392;0
5740.77;4703.63;41;392;0
6115.94;5063.39;41;392;0
5494.68;4492.27;41;392;0
5683.53;4520.48;41;392;0
4940.01;3902.91;41;392;0
6089.34;5098.81;41;392;0
5841.76;4815.53;41;392;0
5747.64;4784.86;41;392;0
5887.66;4870.32;41;392;0
5541.6;4771.14;41;392;0
5939.64;4733.98;41;392;0
5710.87;4717.93;41;392;0
5688.13;4569.18;41;392;0
5687.99;4683.25;41;392;0
5933.81;4733.98;41;392;0
5468.07;4349.34;41;392;0
5995.4;5074.59;41;392;0
5798.83;4713.55;41;392;0
6041.89;4734.81;41;392;0
5583.34;4348.54;41;392;0
5686.34;4683.05;41;392;0
5362.57;4348.47;36;392;0
6328.53;5082.76;41;392;0
5906.98;4694.97;41;392;0
5755.02;4845.35;41;392;0
5760.4;4864.89;41;392;0
5335.97;4171.51;32;392;0
5491.48;4655.53;41;392;0
5763.22;4985.25;41;392;0
5037.87;3851.06;32;392;0
6069.65;4734.81;41;392;0
4863.49;4574.25;36;614;0
5639.46;4671.71;41;392;0
5754.24;4815.71;41;392;0
5741.43;4699.63;41;392;0
5492.51;4357.91;41;392;0
5332.03;4454.78;41;392;0
5115.36;4611.37;41;614;0
6213.08;5062.08;41;392;0
5343.49;4199.88;41;392;0
5722.43;4699.6;41;392;0
5593.83;4664.0;41;392;0
5759.36;4855.14;41;392;0
6041.31;5012.55;41;392;0
5695.59;4632.88;41;392;0
5515.42;4656.29;41;392;0
5792.73;4799.42;41;392;0
5689.51;4576.31;41;392;0
5460.85;4627.53;41;392;0
5850.65;4725.58;41;392;0
5806.89;4991.93;41;392;0
6062.63;5096.53;41;392;0
6010.87;5028.26;41;392;0
5571.57;4509.81;41;392;0
5807.29;4673.7;41;392;0
5790.2;4816.58;41;392;0
5685.35;4732.41;41;392;0
5800.09;4974.78;41;392;0
5150.69;4317.05;32;392;0
5706.1;4646.89;41;392;0
5343.82;4146.77;32;392;0
5707.21;4768.78;41;392;0
5453.63;4654.76;41;392;0
5455.7;4654.76;41;392;0
5679.88;4419.37;41;392;0
5484.25;4722.92;41;392;0
5753.25;5211.69;41;392;0
5742.38;4760.52;41;392;0
5451.16;4686.13;41;392;0
5746.78;4585.55;41;392;0
5463.16;4290.33;41;392;0
5638.49;4781.79;41;392;0
